User,CPU_Time(Hours),GPU_Time(Hours)
taha.bouzid,542.953,19.4789
swiam,528.477,288.011
youssef.essoussy,3.20333,0.503333
yassir.fri,0,0
user25,0,0
slahbabi,0,0
saad.choukry,0,0
othmane.azoubi,131.544,0.1725
khaoula.mejhoudi,11.8022,1.69306
ismail.moatadid,0,0
hicham,0,0
hbenbriqa,0,0
anas.bedraoui,0,0
user24,0,0
safouane.taoufik,0,0
mohammad.elaabaribao,441.572,209.172
loubaba.attou,89.5464,0
ayoub.daoudia,638.464,7.96222
amine.meskar,0,0
ahmed.bargady,0,0
abdoul.saliah,3.85917,0
nabbassi,0,0
malak.kably,26.3497,2.21639
yousra.filalibaba,0,0
med.akallouch,0,0
imane.karmouch,0,0
hafsa.bouamri,0,0
asmaa.elfahli,0,0
aidelkadi,0,0
yassir.bousseta,2.25889,0.833056
mohamed.imam,0,0
melabbadi,0,0
mboussetta,0,0
mbouassab,0,0
adgoudzi,0,0
abdelaziz.malhouq,0,0
mouad.elansari,44.7072,2.68389
youssef.basraoui,3271.17,0
wassbaba,0,0
oumaima.taheri,0,0
noureddine.zhar,0,0
ikadmiri,0,0
houda.saffi,64.0653,96.0008
hkarjoun,0,0
hamid.halim,0,0
abderrahmane.ahachad,0,0
abdelaziz.eddami,0,0
abdelouadoud.kerarmi,0,0
youness.kaddar,0,0
salma.zouhairi,89.4453,7.20389
mohammed.bouri,39.3633,24.8842
mmamouni,0,0
melgraoui,0,0
khalil.misbah,0,0
jean.legeay,0,0
imane.imrharn,23.5681,1.75361
fatimazahra.elhajji,0,0
zerouaou,0,0
tchato.mikael,0,0
tahattou,13676.3,0
ointissar,0,0
mounia.elkoraichi,271.344,1.30583
mbahari,0,0
laila.limni,0,0
hamsbaai,4113.27,3370.77
hajar.laktaoui,3673.74,6262.81
hafssa.tajbel,0,0
ali.azzi,0.958889,0.621389
alain.iliho,160.267,0
taha.elbakkali,0,0
assane.sankara,3536.65,1208.91
ymoukhlis,0,0
yahya.mansoub,98.25,3.43083
yaharmen,0,0
najoua.zeffate-ext,0,0
mohammed.elbekkar,631.828,0.00166667
ilyas.hakkou,0,0
hanane.legnaoui,0,0
elmehdi.medran,0,0
badreeddine.halimi,0,0
asmaa.hassan,0,0
amaichine,0,0
aelallali,0,0
adnane.saoud,0,0
aamazirh,0,0
ghizlane.moumni,0,0
youssef.aitsi,0,0
souad.naitbella,0.000555556,0
selamrani,0,0
rboukharf,0,0
mmoufaddal,0,0
lhkhamar,0,0
houdaifa.atou,0,0
hind.haqqoun,0,0
hamza.bamohammed,25.8908,0.568333
anas.sabri,0,0
abdullahi.isaahmed,616.77,0
abchbihi,0,0
yassir.eljayi,0,0
ssahraoui,0,0
safae.elkadiri,0,0
safaa.menssouri,0,0
mmekias,0,0
latifa.errami,0,0
khalid.benlyazid,0,0
katiabdel,0,0
hamza.ouatiki,0,0
gbetoho.adede,9360.97,619.662
fatimazahra.oujebbour,0,0
elamrani.soufiane,0,0
abderrazzaq.khastaf,0,0
abderrahmane.baidoune,0,0
yassi.elfalaki,0,0
simpayun,0,0
said.grich,19961.8,1375.64
othmane.oukbil,0.7275,0
imrane.bennageh,0,0
imad.elachiri,37.2864,25.7458
hpcadmin,0,0
elkhadir,0,0
elhachimi_ch,382.033,0
elghali.blouz,1.41778,0
ayoubdaiz,0,0
ayoub.hamou,99.2942,0.333333
abou.cisse,0,0
yeonwoo.choi,2.29333,0
sara.elgandouzi,0,0
mohamedamine.rhanbouri,0,0
maazioui,0,0
jihane.moumouh,0,0
fatiha.laalouhmi,0,0
chaimae.elkadiri,0.171111,0
ahoumar,0,0
abroualye.sanogo,0,0
geofroid.lonmadon,7403.94,384.048
yeljabri,0,0
moad.safhi,0,0
lahanich,0,0
karim.benmassaoud,15177.9,4363.17
jean.sosten,25.0056,0
hboukhaira,0,0
fatimazahra.fadel,10.4111,0.988611
zyad.fri,4.7075,0.035
yakardid,0,0
maelfiti,0,0
asmaa,0,0
amal.machtalay,0,0
achkifa,0,0
zyartaoui,0,0
soudrar,0,0
safae,4054.46,0
nchibtazi,0,0
kaoutar.boufous,0,0
jredford,0,0
ikram.zdeg,0,0
hiba.midouane,0,0
hanane.aitousaleh,0,0
hanan.atmani,0.347778,0.347778
galy.diallo,115.755,15.5186
fatima,0,0
ayoub.bouihrouchane,24.1478,22.0944
yassin.terraf,0,0
sara.kanadi,0,0
raja.benharraf,0,0
nohaila.elmasaoul,4232.83,2319.85
mounir.ourekouch,0.670556,0.670556
mohammed.berrahal,0,0
maha.hanif,0,0
jaafar.yeffou,1.6125,1.00917
imane.rahali,0,0
hajar.lhamyani,0,0
boujouda,0,0
abdelaziz.motiaa,0,0
zineb.abercha,0,0
yagzenai,0,0
tbenmira,0.849444,0.849444
oumkalthoum.mhamdi,1562.58,1223.91
nongma.kabore,0,0
nadir.ouzlim,239.384,21.3878
mohamed.kiddi,273.996,3.99667
karima.diafi,0,0
karima.bouyaghssane,0,0
imane.elghabi,0,0
aratnani,0,0
zakaria.srhir,0,0
oumaima.eddoukss,756.757,6221.2
nawfel.bouhassoune,707.282,361.893
meriem.essakhi,0,0
mboundor.diouf,0,0
jihad.rbaiti,0,0
imane.bjij,0,0
hmawahib,0,0
bouchra.bensiali,0,0
aouhssain,0,0
anagihi,10324.2,0
ameck.dosseh,6090.03,15.6203
suleiman.aminu,2.01194,0
root,161.589,0.0119444
lahcen.ousayd,0,0
khcharif,0,0
emmanueljunior.wafowembe,55.1833,0
elkhessaim,0,0
david.babatunde,0,0
abla.bedoui,0,0
naaima.benkadour,0,0
soulemane.idrissou,1689.58,529.139
safae.hajjout,9.99472,0.973333
bilal.benali,0,0
diouf.moussa,0,0
farel.ganlaky,0,0
fatimazahra.hannou,403.68,109.029
intissare.mouamine,0,0
melfakir,0,0
mostafa.zahri,0,0
abdelghafour.aboukacem,0,0
abdoul.amadou-ext,0,0
abdulaziz.ascandari,2.00306,0
aitmagourt.adnane,0,0
charifa,0,0
hamza.afaryate,0,0
latifa.elbouga,863.701,1033.82
melkarii,0,0
nabil.elmocayd,0,0
sboukheir,0,0
badr.elaalami,0,0
batoul.abouddouhaj,0,0
chbaqqal,0,0
hanan.absike,0,0
hiba.khey,0,0
hpcgadmin,0,0
kumar.biswas,0,0
rim.elmghari,0,0
ahmedja,7804.3,0
axians,0,0
hamza.bougrine,88.2486,0.381944
hatim.asslik,599.334,241.854
mohammed.elkohen,0,0
nasr.guennouni,1.40222,0
safae.benaabidate,0,0
sbaammi,0,0
zakaria.choukri,0,0
